Audit,Category,Weight within Category
first-contentful-paint,performance,15
largest-contentful-paint,performance,25
speed-index,performance,15
interactive,performance,15
total-blocking-time,performance,25
cumulative-layout-shift,performance,5
accesskeys,accessibility,3
aria-allowed-attr,accessibility,10
aria-hidden-body,accessibility,10
aria-hidden-focus,accessibility,3
aria-input-field-name,accessibility,3
aria-required-attr,accessibility,10
aria-required-children,accessibility,10
aria-required-parent,accessibility,10
aria-roles,accessibility,10
aria-toggle-field-name,accessibility,3
aria-valid-attr-value,accessibility,10
aria-valid-attr,accessibility,10
button-name,accessibility,10
bypass,accessibility,3
color-contrast,accessibility,3
definition-list,accessibility,3
dlitem,accessibility,3
document-title,accessibility,3
duplicate-id-active,accessibility,3
duplicate-id-aria,accessibility,10
form-field-multiple-labels,accessibility,2
frame-title,accessibility,3
heading-order,accessibility,2
html-has-lang,accessibility,3
html-lang-valid,accessibility,3
image-alt,accessibility,10
input-image-alt,accessibility,10
label,accessibility,10
layout-table,accessibility,3
link-name,accessibility,3
list,accessibility,3
listitem,accessibility,3
meta-refresh,accessibility,10
meta-viewport,accessibility,10
object-alt,accessibility,3
tabindex,accessibility,3
td-headers-attr,accessibility,3
th-has-data-cells,accessibility,3
valid-lang,accessibility,3
video-caption,accessibility,10
video-description,accessibility,10
appcache-manifest,best-practices,1
is-on-https,best-practices,1
uses-http2,best-practices,1
uses-passive-event-listeners,best-practices,1
no-document-write,best-practices,1
external-anchors-use-rel-noopener,best-practices,1
geolocation-on-start,best-practices,1
doctype,best-practices,1
charset,best-practices,1
no-vulnerable-libraries,best-practices,1
js-libraries,best-practices,0
notification-on-start,best-practices,1
deprecations,best-practices,1
password-inputs-can-be-pasted-into,best-practices,1
errors-in-console,best-practices,1
image-aspect-ratio,best-practices,1
image-size-responsive,best-practices,1
viewport,seo,1
document-title,seo,1
meta-description,seo,1
http-status-code,seo,1
link-text,seo,1
is-crawlable,seo,1
robots-txt,seo,1
image-alt,seo,1
hreflang,seo,1
canonical,seo,1
font-size,seo,1
plugins,seo,1
tap-targets,seo,1